area_fips,County,own_code,industry_code,agglvl_code,size_code,year,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,Annual_Wage_Quartiles_by_each_Year
06001,Alameda County,0,10,70,0,2010,630343,38561384582,4249021761,209576251,1176,61175,833156165,2.2,-29259191,-0.7,High Average Annual Wage
06001,Alameda County,0,10,70,0,2011,634983,39539989522,4411158972,237420335,1197,62269,978604940,2.5,162137211,3.8,High Average Annual Wage
06001,Alameda County,0,10,70,0,2012,658708,41931951465,4591396373,245635139,1224,63658,2391961943,6.0,180237401,4.1,High Average Annual Wage
06001,Alameda County,0,10,70,0,2013,677978,43074236141,4747991925,246595851,1222,63533,1142284676,2.7,156595552,3.4,High Average Annual Wage
06001,Alameda County,0,10,70,0,2014,698536,45916774437,5009996396,252756431,1264,65733,2842538296,6.6,262004471,5.5,High Average Annual Wage
06001,Alameda County,0,10,70,0,2015,728995,50148570433,5363016119,262521497,1323,68791,4231795996,9.2,353019723,7.0,High Average Annual Wage
06001,Alameda County,0,10,70,0,2016,751599,53035088461,5533631801,257275895,1357,70563,2886518028,5.8,170615682,3.2,High Average Annual Wage
06001,Alameda County,0,10,70,0,2017,771652,57018137454,5800767552,255889125,1421,73891,3983048993,7.5,267135751,4.8,High Average Annual Wage
06001,Alameda County,0,10,70,0,2018,786038,59918321510,5950257355,253760130,1466,76228,2900184056,5.1,149489803,2.6,High Average Annual Wage
06001,Alameda County,0,10,70,0,2019,793213,63132769266,6007588891,245782887,1531,79591,3214447756,5.4,57331536,1.0,High Average Annual Wage
06001,Alameda County,0,10,70,0,2020,731316,64577584110,5665383032,223169770,1698,88303,1444814844,2.3,-342205859,-5.7,High Average Annual Wage
06001,Alameda County,0,10,70,0,2021,754951,69755749224,5905126359,216654330,1777,92398,5178165114,8.0,239743327,4.2,High Average Annual Wage
06001,Alameda County,0,10,70,0,2022,787020,73227737151,6124235722,190321127,1789,93044,3471987927,5.0,219109363,3.7,High Average Annual Wage
06001,Alameda County,0,10,70,0,2023,793089,75129782205,6004794054,178504244,1822,94731,1902045054,2.6,-119441668,-2.0,High Average Annual Wage
06003,Alpine County,0,10,70,0,2010,631,22548475,5345316,304704,687,35711,2817347,14.3,845319,18.8,Lower Middle Average Annual Wage
06003,Alpine County,0,10,70,0,2011,750,33250912,8441649,432045,853,44349,10702437,47.5,3096333,57.9,Upper Middle Average Annual Wage
06003,Alpine County,0,10,70,0,2012,636,31894848,5395482,310173,964,50116,-1356064,-4.1,-3046167,-36.1,High Average Annual Wage
06003,Alpine County,0,10,70,0,2013,532,28483109,3339636,194842,1029,53531,-3411739,-10.7,-2055846,-38.1,High Average Annual Wage
06003,Alpine County,0,10,70,0,2014,527,28806379,3307884,186884,1050,54618,323270,1.1,-31752,-1.0,High Average Annual Wage
06003,Alpine County,0,10,70,0,2015,504,19585684,2896904,160590,748,38873,-9220695,-32.0,-410980,-12.4,Lower Middle Average Annual Wage
06003,Alpine County,0,10,70,0,2016,770,27452466,6305652,368578,685,35641,7866782,40.2,3408748,117.7,Low Average Annual Wage
06003,Alpine County,0,10,70,0,2017,751,27271892,6629377,385749,698,36298,-180574,-0.7,323725,5.1,Low Average Annual Wage
06003,Alpine County,0,10,70,0,2018,783,28640269,6992568,408007,704,36597,1368377,5.0,363191,5.5,Low Average Annual Wage
06003,Alpine County,0,10,70,0,2019,763,30755043,7743589,439131,775,40308,2114774,7.4,751021,10.7,Low Average Annual Wage
06003,Alpine County,0,10,70,0,2020,657,30641384,6926416,378984,897,46638,-113659,-0.4,-817173,-10.6,Low Average Annual Wage
06003,Alpine County,0,10,70,0,2021,693,31756681,6958447,380055,882,45841,1115297,3.6,32031,0.5,Low Average Annual Wage
06003,Alpine County,0,10,70,0,2022,668,36321362,8029766,432622,1046,54394,4564681,14.4,1071319,15.4,Lower Middle Average Annual Wage
06003,Alpine County,0,10,70,0,2023,805,39625991,8344339,451774,947,49230,3304629,9.1,314573,3.9,Low Average Annual Wage
06005,Amador County,0,10,70,0,2010,11995,442684889,50390053,2432428,710,36907,-20423714,-4.4,-1062930,-2.1,Lower Middle Average Annual Wage
06005,Amador County,0,10,70,0,2011,11581,440511416,59021942,3136361,731,38038,-2173473,-0.5,8631889,17.1,Lower Middle Average Annual Wage
06005,Amador County,0,10,70,0,2012,11395,437174756,56792333,3043305,738,38367,-3336660,-0.8,-2229609,-3.8,Lower Middle Average Annual Wage
06005,Amador County,0,10,70,0,2013,11195,446280877,58608390,3073206,767,39866,9106121,2.1,1816057,3.2,Lower Middle Average Annual Wage
06005,Amador County,0,10,70,0,2014,11335,462774393,61492054,3172507,785,40826,16493516,3.7,2883664,4.9,Lower Middle Average Annual Wage
06005,Amador County,0,10,70,0,2015,11623,487940116,63012479,3164466,807,41982,25165723,5.4,1520425,2.5,Lower Middle Average Annual Wage
06005,Amador County,0,10,70,0,2016,11648,492835580,59687357,2795695,814,42310,4895464,1.0,-3325122,-5.3,Lower Middle Average Annual Wage
06005,Amador County,0,10,70,0,2017,12080,528732785,62560489,2752221,842,43770,35897205,7.3,2873132,4.8,Lower Middle Average Annual Wage
06005,Amador County,0,10,70,0,2018,12267,548604065,63221445,2680922,860,44721,19871280,3.8,660956,1.1,Lower Middle Average Annual Wage
06005,Amador County,0,10,70,0,2019,12282,567426129,64232899,2638332,888,46199,18822064,3.4,1011454,1.6,Lower Middle Average Annual Wage
06005,Amador County,0,10,70,0,2020,11664,589870052,65763259,2668659,973,50573,22443923,4.0,1530360,2.4,Lower Middle Average Annual Wage
06005,Amador County,0,10,70,0,2021,11854,635915231,69717808,2582887,1032,53646,46045179,7.8,3954549,6.0,Lower Middle Average Annual Wage
06005,Amador County,0,10,70,0,2022,12114,656580537,72116057,2303806,1042,54202,20665306,3.2,2398249,3.4,Lower Middle Average Annual Wage
06005,Amador County,0,10,70,0,2023,12264,692691120,71020806,2245093,1086,56482,36110583,5.5,-1095251,-1.5,Lower Middle Average Annual Wage
06007,Butte County,0,10,70,0,2010,71120,2529844510,401432973,19726141,684,35571,10283220,0.4,11268601,2.9,Lower Middle Average Annual Wage
06007,Butte County,0,10,70,0,2011,69485,2493577434,400116756,21510875,690,35887,-36267076,-1.4,-1316217,-0.3,Lower Middle Average Annual Wage
06007,Butte County,0,10,70,0,2012,71311,2606253575,415728115,22352800,703,36548,112676141,4.5,15611359,3.9,Lower Middle Average Annual Wage
06007,Butte County,0,10,70,0,2013,74186,2706108885,434582150,22771912,701,36477,99855310,3.8,18854035,4.5,Lower Middle Average Annual Wage
06007,Butte County,0,10,70,0,2014,76135,2819921702,447121460,22929009,712,37039,113812817,4.2,12539310,2.9,Low Average Annual Wage
06007,Butte County,0,10,70,0,2015,78370,3039654152,467240768,23282392,746,38786,219732450,7.8,20119308,4.5,Lower Middle Average Annual Wage
06007,Butte County,0,10,70,0,2016,80802,3193940757,486980188,23168604,760,39528,154286605,5.1,19739420,4.2,Lower Middle Average Annual Wage
06007,Butte County,0,10,70,0,2017,82478,3389796362,498289434,22625747,790,41099,195855605,6.1,11309246,2.3,Lower Middle Average Annual Wage
06007,Butte County,0,10,70,0,2018,83903,3589503792,520174772,22925709,823,42782,199707430,5.9,21885338,4.4,Lower Middle Average Annual Wage
06007,Butte County,0,10,70,0,2019,81947,3691803057,527405529,22709504,866,45051,102299265,2.8,7230757,1.4,Lower Middle Average Annual Wage
06007,Butte County,0,10,70,0,2020,75042,3682033708,494753236,21439339,944,49067,-9769349,-0.3,-32652293,-6.2,Lower Middle Average Annual Wage
06007,Butte County,0,10,70,0,2021,76955,3941667461,519277667,20117247,985,51220,259633753,7.1,24524431,5.0,Lower Middle Average Annual Wage
06007,Butte County,0,10,70,0,2022,78536,4122718075,519439686,17395542,1010,52494,181050614,4.6,162019,0.0,Lower Middle Average Annual Wage
06007,Butte County,0,10,70,0,2023,78295,4299350648,511266648,16719618,1056,54913,176632573,4.3,-8173038,-1.6,Lower Middle Average Annual Wage
06009,Calaveras County,0,10,70,0,2010,7567,258578801,40832816,1995988,657,34171,-3087929,-1.2,-318566,-0.8,Low Average Annual Wage
06009,Calaveras County,0,10,70,0,2011,7469,259747254,42589428,2288146,669,34777,1168453,0.5,1756612,4.3,Low Average Annual Wage
06009,Calaveras County,0,10,70,0,2012,7527,267803603,43208733,2301175,684,35580,8056349,3.1,619305,1.5,Low Average Annual Wage
